,Frame,prox,dist,dist_filtered,prox_filtered
0,0,33,28,28,33
1,1,28,29,29,28
2,2,33,29,29,33
3,3,34,33,33,34
4,4,28,33,33,28
5,5,32,33,33,32
6,6,33,29,29,33
7,7,33,29,29,33
8,8,33,33,33,33
9,9,33,34,34,33
10,10,33,33,33,33
11,11,33,33,33,33
12,12,29,29,29,29
13,13,33,34,34,33
14,14,28,29,29,28
15,15,29,29,29,29
16,16,33,29,29,33
17,17,29,33,33,29
18,18,29,33,33,29
19,19,28,29,29,28
20,20,29,33,33,29
21,21,33,29,29,33
22,22,33,28,28,33
23,23,33,29,29,33
24,24,29,33,33,29
25,25,28,29,29,28
26,26,28,29,29,28
27,27,28,29,29,28
28,28,33,29,29,33
29,29,29,29,29,29
30,30,29,29,29,29
31,31,34,28,28,34
32,32,29,29,29,29
33,33,29,29,29,29
34,34,33,29,29,33
35,35,33,29,29,33
36,36,33,28,28,33
37,37,29,34,34,29
38,38,29,29,29,29
39,39,33,29,29,33
40,40,33,29,29,33
41,41,33,29,29,33
42,42,33,29,29,33
43,43,29,29,29,29
44,44,29,29,29,29
45,45,29,29,29,29
46,46,28,29,29,28
47,47,29,29,29,29
48,48,28,29,29,28
49,49,29,29,29,29
50,50,29,28,28,29
51,51,28,29,29,28
52,52,29,29,29,29
53,53,29,29,29,29
54,54,29,29,29,29
55,55,33,29,29,33
56,56,33,34,34,33
