,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,33,30,31.0,31.0
1,1,1,28,31,31.0,32.0
2,2,2,33,31,31.0,32.0
3,3,3,34,35,32.0,32.0
4,4,4,28,35,32.0,33.0
5,5,5,32,35,32.0,33.0
6,6,6,33,31,32.0,34.0
7,7,7,33,31,32.0,34.0
8,8,8,33,35,32.0,34.0
9,9,9,33,36,32.0,34.0
10,10,10,33,35,32.0,33.0
11,11,11,33,35,32.0,33.0
12,12,12,29,31,31.0,33.0
13,13,13,33,36,31.0,34.0
14,14,14,28,31,31.0,33.0
15,15,15,29,31,30.0,33.0
16,16,16,33,31,30.0,33.0
17,17,17,29,35,30.0,32.0
18,18,18,29,35,31.0,32.0
19,19,19,28,31,30.0,32.0
20,20,20,29,35,30.0,32.0
21,21,21,33,31,30.0,32.0
22,22,22,33,30,30.0,32.0
23,23,23,33,31,30.0,32.0
24,24,24,29,35,30.0,32.0
25,25,25,28,31,30.0,32.0
26,26,26,28,31,31.0,31.0
27,27,27,28,31,30.0,31.0
28,28,28,33,31,30.0,31.0
29,29,29,29,31,30.0,31.0
30,30,30,29,31,30.0,31.0
31,31,31,34,30,31.0,31.0
32,32,32,29,31,31.0,31.0
33,33,33,29,31,31.0,31.0
34,34,34,33,31,31.0,31.0
35,35,35,33,31,31.0,31.0
36,36,36,33,30,32.0,31.0
37,37,37,29,36,32.0,31.0
38,38,38,29,31,32.0,31.0
39,39,39,33,31,32.0,31.0
40,40,40,33,31,31.0,31.0
41,41,41,33,31,31.0,31.0
42,42,42,33,31,30.0,31.0
43,43,43,29,31,30.0,31.0
44,44,44,29,31,30.0,31.0
45,45,45,29,31,30.0,31.0
46,46,46,28,31,29.0,31.0
47,47,47,29,31,29.0,31.0
48,48,48,28,31,29.0,31.0
49,49,49,29,31,29.0,31.0
50,50,50,29,30,29.0,31.0
51,51,51,28,31,29.0,31.0
52,52,52,29,31,30.0,32.0
53,53,53,29,31,30.0,32.0
54,54,54,29,31,31.0,32.0
55,55,55,33,31,31.0,32.0
56,56,56,33,36,31.0,33.0
