,Frame,prox,dist,dist_filtered,prox_filtered
0,0,0,0,0,0
1,1,0,2,2,0
2,2,11,23,23,11
3,3,29,21,21,29
4,4,29,22,22,29
5,5,31,30,30,31
6,6,20,31,31,20
7,7,30,29,29,30
8,8,27,26,26,27
9,9,31,29,29,31
10,10,31,22,22,31
11,11,24,23,23,24
12,12,26,31,31,26
13,13,32,28,28,32
14,14,30,27,27,30
15,15,24,26,26,24
16,16,24,29,29,24
17,17,26,22,22,26
18,18,25,28,28,25
19,19,30,24,24,30
20,20,29,23,23,29
21,21,30,30,30,30
22,22,25,25,25,25
23,23,25,24,24,25
24,24,25,23,23,25
25,25,29,23,23,29
26,26,30,24,24,30
27,27,28,25,25,28
28,28,25,31,31,25
29,29,25,30,30,25
30,30,26,28,28,26
31,31,29,30,30,29
32,32,29,30,30,29
33,33,29,30,30,29
34,34,25,29,29,25
35,35,28,24,24,28
36,36,23,27,27,23
37,37,28,23,23,28
38,38,28,29,29,28
39,39,24,28,28,24
40,40,31,30,30,31
41,41,30,28,28,30
42,42,28,30,30,28
43,43,31,31,31,31
44,44,26,25,25,26
45,45,30,30,30,30
46,46,29,30,30,29
47,47,29,28,28,29
48,48,30,29,29,30
49,49,29,25,25,29
50,50,28,28,28,28
51,51,31,27,27,31
52,52,28,23,23,28
53,53,30,24,24,30
54,54,30,25,25,30
55,55,29,23,23,29
56,56,24,27,27,24
