,Unnamed: 0,Frame,prox,dist,dist_filtered,prox_filtered
0,0,0,62,63,63,62
1,1,1,62,61,61,62
2,2,2,51,40,40,51
3,3,3,33,42,42,33
4,4,4,33,41,41,33
5,5,5,31,33,33,31
6,6,6,42,32,32,42
7,7,7,32,34,34,32
8,8,8,35,37,37,35
9,9,9,31,34,34,31
10,10,10,31,41,41,31
11,11,11,38,40,40,38
12,12,12,36,32,32,36
13,13,13,30,35,35,30
14,14,14,32,36,36,32
15,15,15,38,37,37,38
16,16,16,38,34,34,38
17,17,17,36,41,41,36
18,18,18,37,35,35,37
19,19,19,32,39,39,32
20,20,20,33,40,40,33
21,21,21,32,33,33,32
22,22,22,37,38,38,37
23,23,23,37,39,39,37
24,24,24,37,40,40,37
25,25,25,33,40,40,33
26,26,26,32,39,39,32
27,27,27,34,38,38,34
28,28,28,37,32,32,37
29,29,29,37,33,33,37
30,30,30,36,35,35,36
31,31,31,33,33,33,33
32,32,32,33,33,33,33
33,33,33,33,33,33,33
34,34,34,37,34,34,37
35,35,35,34,39,39,34
36,36,36,39,36,36,39
37,37,37,34,40,40,34
38,38,38,34,34,34,34
39,39,39,38,35,35,38
40,40,40,31,33,33,31
41,41,41,32,35,35,32
42,42,42,34,33,33,34
43,43,43,31,32,32,31
44,44,44,36,38,38,36
45,45,45,32,33,33,32
46,46,46,33,33,33,33
47,47,47,33,35,35,33
48,48,48,32,34,34,32
49,49,49,33,38,38,33
50,50,50,34,35,35,34
51,51,51,31,36,36,31
52,52,52,34,40,40,34
53,53,53,32,39,39,32
54,54,54,32,38,38,32
55,55,55,33,40,40,33
56,56,56,38,36,36,38
