,Frame,prox,dist,prox_filtered,dist_filtered
0,0,38,38,38.0,39.0
1,1,36,38,38.0,39.0
2,2,35,38,38.0,39.0
3,3,39,38,38.0,39.0
4,4,38,38,38.0,39.0
5,5,44,38,38.0,39.0
6,6,39,39,38.0,39.0
7,7,39,39,38.0,39.0
8,8,39,39,38.0,38.0
9,9,39,43,38.0,38.0
10,10,39,39,38.0,38.0
11,11,39,37,38.0,38.0
12,12,44,38,38.0,38.0
13,13,39,38,37.0,38.0
14,14,35,38,37.0,38.0
15,15,39,37,37.0,38.0
16,16,37,37,37.0,38.0
17,17,35,37,37.0,38.0
18,18,38,37,37.0,38.0
19,19,38,37,37.0,38.0
20,20,35,37,37.0,38.0
21,21,38,37,37.0,38.0
22,22,39,37,37.0,38.0
23,23,36,33,37.0,37.0
24,24,39,37,37.0,37.0
25,25,35,34,37.0,37.0
26,26,36,37,37.0,37.0
27,27,36,38,37.0,37.0
28,28,38,38,37.0,37.0
29,29,36,38,37.0,37.0
30,30,36,38,37.0,37.0
31,31,35,38,37.0,37.0
32,32,36,34,37.0,37.0
33,33,35,34,37.0,37.0
34,34,35,37,36.0,37.0
35,35,35,37,36.0,37.0
36,36,36,37,36.0,37.0
37,37,37,37,36.0,37.0
38,38,38,37,36.0,37.0
39,39,38,37,36.0,36.0
40,40,36,37,36.0,36.0
41,41,36,34,36.0,36.0
42,42,36,37,36.0,36.0
43,43,36,37,36.0,36.0
44,44,35,37,36.0,36.0
45,45,38,34,36.0,36.0
46,46,35,37,36.0,36.0
47,47,35,34,36.0,36.0
48,48,35,38,36.0,36.0
49,49,35,38,36.0,36.0
50,50,35,38,36.0,36.0
51,51,35,34,36.0,36.0
52,52,35,34,36.0,36.0
53,53,35,34,36.0,35.0
54,54,35,37,36.0,35.0
55,55,34,37,36.0,35.0
56,56,30,37,35.0,35.0
57,57,31,38,35.0,35.0
58,58,30,33,35.0,35.0
59,59,34,37,35.0,35.0
60,60,34,37,35.0,35.0
61,61,35,37,35.0,35.0
62,62,34,37,35.0,35.0
63,63,34,37,35.0,35.0
64,64,35,37,35.0,35.0
65,65,35,37,35.0,35.0
66,66,35,38,35.0,35.0
67,67,35,37,35.0,34.0
68,68,35,37,35.0,34.0
69,69,35,37,35.0,34.0
70,70,35,37,35.0,34.0
71,71,35,36,35.0,34.0
72,72,31,38,35.0,34.0
