,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,28,25,25.0,24.0
1,1,1,28,25,25.0,24.0
2,2,2,26,25,25.0,24.0
3,3,3,26,25,25.0,24.0
4,4,4,26,25,25.0,24.0
5,5,5,26,25,25.0,25.0
6,6,6,26,25,25.0,25.0
7,7,7,25,24,25.0,25.0
8,8,8,26,24,25.0,25.0
9,9,9,25,24,26.0,25.0
10,10,10,25,26,26.0,25.0
11,11,11,25,26,26.0,25.0
12,12,12,25,32,26.0,25.0
13,13,13,26,33,26.0,25.0
14,14,14,27,27,26.0,25.0
15,15,15,26,25,26.0,25.0
16,16,16,26,32,26.0,25.0
17,17,17,28,24,26.0,25.0
18,18,18,26,33,26.0,26.0
19,19,19,26,34,26.0,26.0
20,20,20,26,32,27.0,26.0
21,21,21,23,25,27.0,26.0
22,22,22,26,33,27.0,26.0
23,23,23,27,24,27.0,26.0
24,24,24,26,33,27.0,26.0
25,25,25,27,24,27.0,26.0
26,26,26,28,24,27.0,26.0
27,27,27,25,26,27.0,26.0
28,28,28,26,26,27.0,26.0
29,29,29,29,26,27.0,26.0
30,30,30,26,26,27.0,26.0
31,31,31,28,24,28.0,26.0
32,32,32,28,24,28.0,27.0
33,33,33,29,24,28.0,27.0
34,34,34,30,24,28.0,27.0
35,35,35,28,24,28.0,27.0
36,36,36,27,24,28.0,27.0
37,37,37,26,25,28.0,27.0
38,38,38,26,24,28.0,27.0
39,39,39,26,25,28.0,27.0
40,40,40,27,24,28.0,27.0
41,41,41,27,24,28.0,27.0
42,42,42,26,24,29.0,27.0
43,43,43,28,24,29.0,27.0
44,44,44,30,33,29.0,27.0
45,45,45,28,24,29.0,28.0
46,46,46,30,24,29.0,28.0
47,47,47,28,24,29.0,28.0
48,48,48,28,34,29.0,28.0
49,49,49,27,32,29.0,28.0
50,50,50,28,24,29.0,28.0
51,51,51,30,24,29.0,28.0
52,52,52,29,24,29.0,28.0
53,53,53,29,24,29.0,28.0
54,54,54,29,24,30.0,28.0
55,55,55,30,24,30.0,28.0
56,56,56,31,24,30.0,28.0
57,57,57,30,31,30.0,29.0
58,58,58,35,31,30.0,29.0
59,59,59,31,24,30.0,29.0
60,60,60,32,24,30.0,29.0
61,61,61,31,24,30.0,29.0
62,62,62,30,24,30.0,29.0
63,63,63,31,32,30.0,29.0
64,64,64,32,24,30.0,29.0
65,65,65,33,24,30.0,29.0
66,66,66,29,24,30.0,29.0
67,67,67,31,24,31.0,29.0
68,68,68,29,24,31.0,29.0
69,69,69,30,24,31.0,29.0
70,70,70,30,24,31.0,29.0
71,71,71,30,32,31.0,29.0
72,72,72,33,24,31.0,30.0
73,73,73,36,33,31.0,30.0
74,74,74,32,24,31.0,30.0
75,75,75,32,32,31.0,30.0
76,76,76,32,32,31.0,30.0
77,77,77,29,32,31.0,30.0
78,78,78,29,33,31.0,30.0
79,79,79,30,33,31.0,30.0
80,80,80,29,33,31.0,30.0
81,81,81,30,26,32.0,30.0
82,82,82,30,24,32.0,30.0
83,83,83,32,26,32.0,30.0
