,Frame,prox,dist,prox_filtered,dist_filtered
0,0,34,36,37.0,37.0
1,1,34,36,37.0,37.0
2,2,36,36,37.0,37.0
3,3,36,36,37.0,37.0
4,4,36,36,37.0,37.0
5,5,36,36,37.0,36.0
6,6,36,36,37.0,36.0
7,7,37,37,37.0,36.0
8,8,36,37,37.0,36.0
9,9,37,37,36.0,36.0
10,10,37,35,36.0,36.0
11,11,37,35,36.0,36.0
12,12,37,29,36.0,36.0
13,13,36,28,36.0,36.0
14,14,35,34,36.0,36.0
15,15,36,36,36.0,36.0
16,16,36,29,36.0,36.0
17,17,34,37,36.0,36.0
18,18,36,28,36.0,35.0
19,19,36,27,36.0,35.0
20,20,36,29,35.0,35.0
21,21,39,36,35.0,35.0
22,22,36,28,35.0,35.0
23,23,35,37,35.0,35.0
24,24,36,28,35.0,35.0
25,25,35,37,35.0,35.0
26,26,34,37,35.0,35.0
27,27,37,35,35.0,35.0
28,28,36,35,35.0,35.0
29,29,33,35,35.0,35.0
30,30,36,35,35.0,35.0
31,31,34,37,34.0,35.0
32,32,34,37,34.0,34.0
33,33,33,37,34.0,34.0
34,34,32,37,34.0,34.0
35,35,34,37,34.0,34.0
36,36,35,37,34.0,34.0
37,37,36,36,34.0,34.0
38,38,36,37,34.0,34.0
39,39,36,36,34.0,34.0
40,40,35,37,34.0,34.0
41,41,35,37,34.0,34.0
42,42,36,37,33.0,34.0
43,43,34,37,33.0,34.0
44,44,32,28,33.0,34.0
45,45,34,37,33.0,33.0
46,46,32,37,33.0,33.0
47,47,34,37,33.0,33.0
48,48,34,27,33.0,33.0
49,49,35,29,33.0,33.0
50,50,34,37,33.0,33.0
51,51,32,37,33.0,33.0
52,52,33,37,33.0,33.0
53,53,33,37,33.0,33.0
54,54,33,37,32.0,33.0
55,55,32,37,32.0,33.0
56,56,31,37,32.0,33.0
57,57,32,30,32.0,32.0
58,58,27,30,32.0,32.0
59,59,31,37,32.0,32.0
60,60,30,37,32.0,32.0
61,61,31,37,32.0,32.0
62,62,32,37,32.0,32.0
63,63,31,29,32.0,32.0
64,64,30,37,32.0,32.0
65,65,29,37,32.0,32.0
66,66,33,37,32.0,32.0
67,67,31,37,31.0,32.0
68,68,33,37,31.0,32.0
69,69,32,37,31.0,32.0
70,70,32,37,31.0,32.0
71,71,32,29,31.0,32.0
72,72,29,37,31.0,31.0
73,73,26,28,31.0,31.0
74,74,30,37,31.0,31.0
75,75,30,29,31.0,31.0
76,76,30,29,31.0,31.0
77,77,33,29,31.0,31.0
78,78,33,28,31.0,31.0
79,79,32,28,31.0,31.0
80,80,33,28,31.0,31.0
81,81,32,35,30.0,31.0
82,82,32,37,30.0,31.0
83,83,30,35,30.0,31.0
84,84,28,28,30.0,30.0
85,85,28,28,30.0,30.0
86,86,28,28,30.0,30.0
87,87,26,27,30.0,30.0
88,88,30,27,30.0,30.0
89,89,26,28,30.0,30.0
90,90,26,28,30.0,30.0
91,91,31,26,30.0,30.0
92,92,29,25,30.0,30.0
93,93,30,27,30.0,30.0
94,94,28,23,30.0,29.0
95,95,26,26,30.0,29.0
96,96,27,28,30.0,29.0
97,97,28,28,30.0,29.0
98,98,30,25,30.0,29.0
99,99,30,25,30.0,29.0
100,100,29,27,30.0,29.0
101,101,26,26,30.0,29.0
102,102,29,24,29.0,29.0
103,103,28,26,29.0,29.0
104,104,28,26,29.0,29.0
105,105,28,26,29.0,29.0
106,106,33,27,29.0,28.0
107,107,27,27,29.0,28.0
108,108,27,27,29.0,28.0
109,109,26,26,29.0,28.0
110,110,30,26,29.0,28.0
111,111,26,24,29.0,28.0
112,112,31,27,29.0,28.0
113,113,25,27,29.0,28.0
114,114,29,26,29.0,28.0
115,115,30,27,29.0,28.0
116,116,29,25,29.0,28.0
117,117,28,27,29.0,28.0
118,118,32,25,29.0,27.0
119,119,29,27,29.0,27.0
