,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,28,27,25.0,26.0
1,1,1,28,27,25.0,26.0
2,2,2,26,27,25.0,26.0
3,3,3,26,27,25.0,26.0
4,4,4,26,27,25.0,26.0
5,5,5,26,27,25.0,27.0
6,6,6,26,27,25.0,27.0
7,7,7,25,26,25.0,27.0
8,8,8,26,26,25.0,27.0
9,9,9,25,26,26.0,27.0
10,10,10,25,28,26.0,27.0
11,11,11,25,28,26.0,27.0
12,12,12,25,34,26.0,27.0
13,13,13,26,35,26.0,27.0
14,14,14,27,29,26.0,27.0
15,15,15,26,27,26.0,27.0
16,16,16,26,34,26.0,27.0
17,17,17,28,26,26.0,27.0
18,18,18,26,35,26.0,28.0
19,19,19,26,36,26.0,28.0
20,20,20,26,34,27.0,28.0
21,21,21,23,27,27.0,28.0
22,22,22,26,35,27.0,28.0
23,23,23,27,26,27.0,28.0
24,24,24,26,35,27.0,28.0
25,25,25,27,26,27.0,28.0
26,26,26,28,26,27.0,28.0
27,27,27,25,28,27.0,28.0
28,28,28,26,28,27.0,28.0
29,29,29,29,28,27.0,28.0
30,30,30,26,28,27.0,28.0
31,31,31,28,26,28.0,28.0
32,32,32,28,26,28.0,29.0
33,33,33,29,26,28.0,29.0
34,34,34,30,26,28.0,29.0
35,35,35,28,26,28.0,29.0
36,36,36,27,26,28.0,29.0
37,37,37,26,27,28.0,29.0
38,38,38,26,26,28.0,29.0
39,39,39,26,27,28.0,29.0
40,40,40,27,26,28.0,29.0
41,41,41,27,26,28.0,29.0
42,42,42,26,26,29.0,29.0
43,43,43,28,26,29.0,29.0
44,44,44,30,35,29.0,29.0
45,45,45,28,26,29.0,30.0
46,46,46,30,26,29.0,30.0
47,47,47,28,26,29.0,30.0
48,48,48,28,36,29.0,30.0
49,49,49,27,34,29.0,30.0
50,50,50,28,26,29.0,30.0
51,51,51,30,26,29.0,30.0
52,52,52,29,26,29.0,30.0
53,53,53,29,26,29.0,30.0
54,54,54,29,26,30.0,30.0
55,55,55,30,26,30.0,30.0
56,56,56,31,26,30.0,30.0
57,57,57,30,33,30.0,31.0
58,58,58,35,33,30.0,31.0
59,59,59,31,26,30.0,31.0
60,60,60,32,26,30.0,31.0
61,61,61,31,26,30.0,31.0
62,62,62,30,26,30.0,31.0
63,63,63,31,34,30.0,31.0
64,64,64,32,26,30.0,31.0
65,65,65,33,26,30.0,31.0
66,66,66,29,26,30.0,31.0
67,67,67,31,26,31.0,31.0
68,68,68,29,26,31.0,31.0
69,69,69,30,26,31.0,31.0
70,70,70,30,26,31.0,31.0
71,71,71,30,34,31.0,31.0
72,72,72,33,26,31.0,32.0
73,73,73,36,35,31.0,32.0
74,74,74,32,26,31.0,32.0
75,75,75,32,34,31.0,32.0
76,76,76,32,34,31.0,32.0
77,77,77,29,34,31.0,32.0
78,78,78,29,35,31.0,32.0
79,79,79,30,35,31.0,32.0
