,Frame,prox,dist,prox_filtered,dist_filtered
0,0,27,27,29.0,29.0
1,1,27,27,29.0,29.0
2,2,27,27,29.0,29.0
3,3,27,26,29.0,29.0
4,4,26,27,29.0,29.0
5,5,27,26,29.0,29.0
6,6,26,27,29.0,29.0
7,7,26,26,29.0,29.0
8,8,27,27,29.0,29.0
9,9,27,31,29.0,29.0
10,10,27,32,29.0,29.0
11,11,26,26,29.0,29.0
12,12,32,27,29.0,29.0
13,13,31,32,29.0,29.0
14,14,31,31,29.0,30.0
15,15,31,31,29.0,30.0
16,16,31,27,29.0,30.0
17,17,26,27,29.0,30.0
18,18,31,27,29.0,30.0
19,19,27,32,29.0,30.0
20,20,31,31,29.0,30.0
21,21,31,27,29.0,30.0
22,22,31,31,29.0,30.0
23,23,31,31,29.0,30.0
24,24,31,32,30.0,30.0
25,25,31,32,30.0,30.0
26,26,32,32,30.0,30.0
27,27,27,32,30.0,30.0
28,28,31,32,30.0,30.0
29,29,31,32,30.0,30.0
30,30,31,32,30.0,30.0
31,31,32,32,30.0,30.0
32,32,31,32,30.0,30.0
33,33,31,32,30.0,30.0
34,34,32,27,30.0,30.0
35,35,31,27,30.0,30.0
36,36,31,27,30.0,30.0
37,37,32,31,30.0,30.0
38,38,31,32,30.0,30.0
39,39,32,32,30.0,30.0
40,40,31,32,30.0,30.0
41,41,32,32,30.0,30.0
42,42,32,27,30.0,30.0
43,43,31,27,30.0,30.0
44,44,31,32,30.0,30.0
45,45,31,32,30.0,30.0
46,46,27,32,30.0,31.0
47,47,31,32,30.0,31.0
48,48,31,32,30.0,31.0
49,49,31,31,30.0,31.0
50,50,31,32,30.0,31.0
51,51,27,32,30.0,31.0
52,52,27,32,30.0,31.0
53,53,31,32,30.0,31.0
54,54,27,32,30.0,31.0
55,55,32,32,30.0,31.0
56,56,32,32,31.0,31.0
57,57,32,32,31.0,31.0
58,58,32,32,31.0,31.0
59,59,32,32,31.0,31.0
60,60,31,32,31.0,31.0
61,61,31,32,31.0,31.0
62,62,32,32,31.0,31.0
63,63,32,32,31.0,31.0
64,64,31,32,31.0,31.0
65,65,31,32,31.0,31.0
66,66,26,32,31.0,31.0
67,67,31,32,31.0,31.0
68,68,32,32,31.0,31.0
69,69,27,32,31.0,31.0
70,70,32,32,31.0,31.0
71,71,31,32,31.0,31.0
72,72,31,32,31.0,31.0
73,73,27,32,31.0,31.0
74,74,31,32,31.0,31.0
75,75,32,32,31.0,31.0
76,76,27,32,31.0,31.0
77,77,32,32,31.0,31.0
78,78,32,32,31.0,31.0
79,79,31,31,31.0,31.0
80,80,32,32,31.0,31.0
81,81,31,32,31.0,31.0
82,82,31,32,31.0,31.0
83,83,32,27,31.0,31.0
84,84,32,32,31.0,31.0
85,85,31,32,31.0,31.0
86,86,27,32,31.0,31.0
87,87,27,32,31.0,31.0
88,88,31,32,31.0,31.0
89,89,32,32,31.0,31.0
90,90,32,32,31.0,31.0
91,91,32,31,31.0,31.0
92,92,31,31,31.0,31.0
93,93,31,31,31.0,31.0
94,94,31,26,31.0,31.0
95,95,32,27,31.0,31.0
96,96,32,32,31.0,31.0
97,97,32,32,31.0,31.0
98,98,31,32,31.0,31.0
99,99,31,31,31.0,31.0
100,100,27,26,31.0,31.0
101,101,32,31,31.0,31.0
102,102,32,31,31.0,31.0
103,103,32,27,31.0,31.0
104,104,32,31,31.0,31.0
105,105,32,32,31.0,31.0
106,106,32,27,31.0,31.0
107,107,32,26,31.0,31.0
108,108,32,26,31.0,31.0
109,109,32,26,31.0,31.0
110,110,32,31,31.0,31.0
111,111,32,26,31.0,31.0
112,112,32,32,31.0,31.0
113,113,32,27,31.0,31.0
114,114,32,31,31.0,31.0
115,115,32,31,31.0,31.0
116,116,32,31,31.0,31.0
117,117,31,31,31.0,31.0
118,118,31,31,31.0,31.0
119,119,32,31,31.0,31.0
120,120,32,26,32.0,31.0
121,121,32,31,32.0,31.0
122,122,32,31,32.0,31.0
123,123,32,32,32.0,31.0
124,124,32,31,32.0,31.0
125,125,32,31,32.0,31.0
126,126,32,32,32.0,31.0
127,127,32,31,32.0,31.0
128,128,32,31,32.0,31.0
129,129,32,26,32.0,31.0
130,130,32,26,32.0,31.0
131,131,32,32,32.0,31.0
132,132,31,32,32.0,31.0
133,133,31,32,32.0,31.0
134,134,31,32,32.0,31.0
135,135,31,31,32.0,31.0
136,136,31,32,32.0,31.0
137,137,31,31,32.0,31.0
138,138,31,32,32.0,31.0
139,139,27,32,32.0,31.0
140,140,32,32,32.0,31.0
141,141,31,32,32.0,31.0
142,142,31,32,32.0,31.0
143,143,32,32,32.0,31.0
144,144,32,32,32.0,31.0
145,145,32,27,32.0,31.0
146,146,32,32,32.0,31.0
147,147,32,26,32.0,31.0
148,148,32,32,32.0,31.0
149,149,32,32,32.0,31.0
