,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,33,33,31.0,31.0
1,1,1,33,33,31.0,31.0
2,2,2,33,33,31.0,31.0
3,3,3,33,34,31.0,31.0
4,4,4,34,33,31.0,31.0
5,5,5,33,34,31.0,31.0
6,6,6,34,33,31.0,31.0
7,7,7,34,34,31.0,31.0
8,8,8,33,33,31.0,31.0
9,9,9,33,29,31.0,31.0
10,10,10,33,28,31.0,31.0
11,11,11,34,34,31.0,31.0
12,12,12,28,33,31.0,31.0
13,13,13,29,28,31.0,31.0
14,14,14,29,29,31.0,30.0
15,15,15,29,29,31.0,30.0
16,16,16,29,33,31.0,30.0
17,17,17,34,33,31.0,30.0
18,18,18,29,33,31.0,30.0
19,19,19,33,28,31.0,30.0
20,20,20,29,29,31.0,30.0
21,21,21,29,33,31.0,30.0
22,22,22,29,29,31.0,30.0
23,23,23,29,29,31.0,30.0
24,24,24,29,28,30.0,30.0
25,25,25,29,28,30.0,30.0
26,26,26,28,28,30.0,30.0
27,27,27,33,28,30.0,30.0
28,28,28,29,28,30.0,30.0
29,29,29,29,28,30.0,30.0
30,30,30,29,28,30.0,30.0
31,31,31,28,28,30.0,30.0
32,32,32,29,28,30.0,30.0
33,33,33,29,28,30.0,30.0
34,34,34,28,33,30.0,30.0
35,35,35,29,33,30.0,30.0
36,36,36,29,33,30.0,30.0
37,37,37,28,29,30.0,30.0
38,38,38,29,28,30.0,30.0
39,39,39,28,28,30.0,30.0
40,40,40,29,28,30.0,30.0
41,41,41,28,28,30.0,30.0
42,42,42,28,33,30.0,30.0
43,43,43,29,33,30.0,30.0
44,44,44,29,28,30.0,30.0
45,45,45,29,28,30.0,30.0
46,46,46,33,28,30.0,29.0
47,47,47,29,28,30.0,29.0
48,48,48,29,28,30.0,29.0
49,49,49,29,29,30.0,29.0
50,50,50,29,28,30.0,29.0
51,51,51,33,28,30.0,29.0
52,52,52,33,28,30.0,29.0
53,53,53,29,28,30.0,29.0
54,54,54,33,28,30.0,29.0
55,55,55,28,28,30.0,29.0
