,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,0,21.0,24.0
1,1,4,8,21.0,24.0
2,2,14,28,21.0,25.0
3,3,19,27,22.0,25.0
4,4,22,18,22.0,25.0
5,5,20,25,22.0,25.0
6,6,24,23,22.0,25.0
7,7,28,29,22.0,25.0
8,8,21,29,22.0,25.0
9,9,24,30,22.0,25.0
10,10,23,30,22.0,25.0
11,11,26,29,22.0,25.0
12,12,24,29,22.0,25.0
13,13,28,28,22.0,25.0
14,14,24,29,22.0,25.0
15,15,27,27,22.0,25.0
16,16,22,27,22.0,25.0
17,17,20,29,22.0,25.0
18,18,23,28,22.0,25.0
19,19,21,30,22.0,25.0
20,20,22,24,22.0,25.0
21,21,23,28,22.0,26.0
22,22,23,23,22.0,26.0
23,23,20,26,22.0,26.0
24,24,22,25,22.0,26.0
25,25,23,26,22.0,26.0
26,26,26,27,22.0,26.0
27,27,23,27,22.0,26.0
28,28,24,27,22.0,26.0
29,29,23,28,22.0,26.0
30,30,27,28,23.0,26.0
31,31,26,26,23.0,26.0
32,32,25,28,23.0,26.0
33,33,23,23,23.0,26.0
34,34,22,25,23.0,26.0
35,35,26,20,23.0,26.0
36,36,25,22,23.0,26.0
37,37,25,23,23.0,26.0
38,38,25,22,23.0,26.0
39,39,24,22,23.0,27.0
40,40,24,23,23.0,27.0
41,41,24,23,23.0,27.0
42,42,27,22,23.0,27.0
43,43,27,24,23.0,27.0
44,44,23,28,23.0,27.0
45,45,23,30,23.0,27.0
46,46,23,29,23.0,27.0
47,47,23,30,23.0,27.0
48,48,26,28,23.0,27.0
49,49,27,27,23.0,27.0
50,50,23,28,23.0,27.0
51,51,23,30,23.0,27.0
52,52,22,30,24.0,28.0
53,53,24,30,24.0,28.0
54,54,21,30,24.0,28.0
55,55,25,30,24.0,28.0
56,56,23,30,24.0,28.0
57,57,26,30,24.0,28.0
58,58,23,28,24.0,28.0
59,59,23,29,24.0,28.0
60,60,23,28,24.0,27.0
61,61,23,30,24.0,27.0
62,62,20,29,24.0,27.0
63,63,23,30,24.0,27.0
64,64,22,31,24.0,27.0
65,65,23,30,24.0,27.0
66,66,21,27,24.0,27.0
67,67,24,30,24.0,27.0
68,68,26,28,24.0,27.0
69,69,23,28,24.0,27.0
70,70,26,31,24.0,27.0
71,71,24,28,24.0,27.0
72,72,23,30,24.0,27.0
73,73,24,30,24.0,27.0
74,74,24,30,24.0,27.0
75,75,25,29,25.0,27.0
76,76,25,30,25.0,27.0
77,77,28,29,25.0,27.0
78,78,26,27,25.0,27.0
79,79,24,29,25.0,27.0
80,80,28,29,25.0,27.0
81,81,23,31,25.0,27.0
82,82,24,30,25.0,27.0
83,83,24,27,25.0,27.0
84,84,23,28,25.0,27.0
85,85,23,30,25.0,27.0
86,86,22,30,25.0,27.0
87,87,22,30,25.0,27.0
88,88,24,30,25.0,28.0
89,89,23,30,25.0,28.0
90,90,23,29,25.0,28.0
91,91,24,27,25.0,28.0
92,92,26,27,25.0,28.0
93,93,26,26,25.0,28.0
94,94,24,25,25.0,28.0
95,95,26,27,25.0,28.0
96,96,24,28,25.0,28.0
97,97,23,29,25.0,28.0
98,98,23,27,25.0,28.0
99,99,22,28,25.0,28.0
100,100,23,25,25.0,28.0
101,101,23,26,25.0,28.0
102,102,28,27,25.0,28.0
103,103,28,24,25.0,28.0
104,104,27,27,25.0,28.0
105,105,25,28,26.0,28.0
106,106,27,26,26.0,28.0
107,107,22,25,26.0,28.0
108,108,24,23,26.0,28.0
109,109,26,22,26.0,28.0
110,110,28,22,26.0,28.0
111,111,25,24,26.0,28.0
112,112,25,22,26.0,28.0
113,113,27,22,26.0,28.0
114,114,27,23,26.0,28.0
115,115,26,27,26.0,28.0
116,116,24,26,26.0,28.0
117,117,23,28,27.0,28.0
118,118,23,27,27.0,28.0
119,119,27,26,27.0,28.0
120,120,28,28,27.0,28.0
121,121,28,27,27.0,28.0
122,122,29,25,27.0,28.0
123,123,27,27,27.0,28.0
124,124,26,27,27.0,28.0
125,125,30,28,27.0,28.0
126,126,27,28,27.0,28.0
127,127,30,26,27.0,28.0
128,128,28,22,28.0,28.0
129,129,28,27,28.0,28.0
130,130,26,29,28.0,28.0
131,131,22,28,28.0,28.0
132,132,22,30,28.0,28.0
133,133,24,30,28.0,28.0
134,134,25,28,28.0,28.0
135,135,25,29,28.0,28.0
136,136,23,30,28.0,28.0
137,137,24,30,29.0,28.0
138,138,26,28,29.0,28.0
139,139,22,28,29.0,28.0
140,140,23,27,29.0,28.0
141,141,25,30,29.0,28.0
142,142,27,28,29.0,28.0
143,143,24,30,29.0,28.0
144,144,26,30,29.0,28.0
145,145,29,28,29.0,28.0
146,146,31,31,29.0,28.0
147,147,34,22,30.0,28.0
148,148,33,28,30.0,28.0
149,149,33,28,30.0,28.0
150,150,32,27,30.0,28.0
151,151,32,30,30.0,28.0
152,152,31,28,30.0,28.0
153,153,32,29,30.0,28.0
154,154,32,28,30.0,28.0
155,155,33,30,30.0,28.0
156,156,33,30,30.0,28.0
157,157,33,30,30.0,28.0
158,158,31,30,31.0,28.0
159,159,31,28,31.0,28.0
160,160,30,27,31.0,28.0
161,161,31,28,31.0,28.0
162,162,32,28,31.0,28.0
163,163,31,28,31.0,28.0
164,164,33,26,31.0,29.0
165,165,32,29,31.0,29.0
166,166,33,30,31.0,29.0
167,167,32,30,31.0,29.0
168,168,33,31,31.0,29.0
169,169,33,29,31.0,29.0
170,170,33,28,31.0,29.0
171,171,33,28,31.0,29.0
172,172,33,30,32.0,29.0
173,173,32,30,32.0,29.0
174,174,32,28,32.0,29.0
175,175,32,30,32.0,29.0
176,176,31,30,32.0,29.0
177,177,34,28,32.0,29.0
178,178,41,29,32.0,29.0
179,179,34,28,32.0,29.0
180,180,36,30,32.0,29.0
181,181,34,28,32.0,29.0
182,182,35,31,32.0,29.0
183,183,43,30,32.0,29.0
184,184,34,29,32.0,29.0
185,185,34,27,32.0,28.0
186,186,36,27,33.0,28.0
187,187,34,30,33.0,28.0
188,188,35,30,33.0,28.0
189,189,34,30,33.0,28.0
190,190,33,29,33.0,28.0
191,191,33,30,33.0,28.0
192,192,35,30,33.0,28.0
193,193,34,29,33.0,28.0
194,194,34,30,33.0,28.0
195,195,34,28,33.0,28.0
196,196,33,30,33.0,28.0
197,197,35,27,33.0,28.0
198,198,34,31,33.0,28.0
199,199,34,30,33.0,28.0
200,200,34,28,33.0,28.0
201,201,36,28,33.0,28.0
202,202,35,31,33.0,28.0
203,203,33,26,33.0,28.0
204,204,34,31,33.0,28.0
205,205,32,29,33.0,28.0
206,206,31,31,33.0,28.0
207,207,33,29,33.0,28.0
208,208,34,27,33.0,28.0
209,209,33,30,32.0,28.0
210,210,33,29,32.0,28.0
211,211,36,30,32.0,28.0
212,212,33,26,32.0,28.0
213,213,33,31,32.0,27.0
214,214,33,30,32.0,27.0
215,215,32,30,32.0,27.0
216,216,33,30,32.0,27.0
217,217,33,31,32.0,27.0
218,218,33,30,32.0,27.0
219,219,33,28,32.0,27.0
220,220,32,26,32.0,27.0
221,221,32,28,32.0,27.0
222,222,34,29,32.0,27.0
223,223,34,26,32.0,27.0
224,224,33,26,32.0,27.0
225,225,34,28,32.0,27.0
226,226,41,28,32.0,27.0
227,227,33,23,32.0,27.0
228,228,33,26,32.0,26.0
229,229,33,23,32.0,26.0
230,230,32,26,32.0,26.0
231,231,33,26,32.0,26.0
232,232,32,26,31.0,26.0
