,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,60,60,39.0,36.0
1,1,1,56,52,39.0,36.0
2,2,2,46,32,39.0,35.0
3,3,3,41,33,38.0,35.0
4,4,4,38,42,38.0,35.0
5,5,5,40,35,38.0,35.0
6,6,6,36,37,38.0,35.0
7,7,7,32,31,38.0,35.0
8,8,8,39,31,38.0,35.0
9,9,9,36,30,38.0,35.0
10,10,10,37,30,38.0,35.0
11,11,11,34,31,38.0,35.0
12,12,12,36,31,38.0,35.0
13,13,13,32,32,38.0,35.0
14,14,14,36,31,38.0,35.0
15,15,15,33,33,38.0,35.0
16,16,16,38,33,38.0,35.0
17,17,17,40,31,38.0,35.0
18,18,18,37,32,38.0,35.0
19,19,19,39,30,38.0,35.0
20,20,20,38,36,38.0,35.0
21,21,21,37,32,38.0,34.0
22,22,22,37,37,38.0,34.0
23,23,23,40,34,38.0,34.0
24,24,24,38,35,38.0,34.0
25,25,25,37,34,38.0,34.0
26,26,26,34,33,38.0,34.0
27,27,27,37,33,38.0,34.0
28,28,28,36,33,38.0,34.0
29,29,29,37,32,38.0,34.0
30,30,30,33,32,37.0,34.0
31,31,31,34,34,37.0,34.0
32,32,32,35,32,37.0,34.0
33,33,33,37,37,37.0,34.0
34,34,34,38,35,37.0,34.0
35,35,35,34,40,37.0,34.0
36,36,36,35,38,37.0,34.0
37,37,37,35,37,37.0,34.0
38,38,38,35,38,37.0,34.0
39,39,39,36,38,37.0,33.0
40,40,40,36,37,37.0,33.0
41,41,41,36,37,37.0,33.0
42,42,42,33,38,37.0,33.0
43,43,43,33,36,37.0,33.0
44,44,44,37,32,37.0,33.0
45,45,45,37,30,37.0,33.0
46,46,46,37,31,37.0,33.0
47,47,47,37,30,37.0,33.0
48,48,48,34,32,37.0,33.0
49,49,49,33,33,37.0,33.0
50,50,50,37,32,37.0,33.0
51,51,51,37,30,37.0,33.0
52,52,52,38,30,36.0,32.0
53,53,53,36,30,36.0,32.0
54,54,54,39,30,36.0,32.0
55,55,55,35,30,36.0,32.0
56,56,56,37,30,36.0,32.0
57,57,57,34,30,36.0,32.0
58,58,58,37,32,36.0,32.0
59,59,59,37,31,36.0,32.0
60,60,60,37,32,36.0,33.0
61,61,61,37,30,36.0,33.0
62,62,62,40,31,36.0,33.0
63,63,63,37,30,36.0,33.0
64,64,64,38,29,36.0,33.0
65,65,65,37,30,36.0,33.0
66,66,66,39,33,36.0,33.0
67,67,67,36,30,36.0,33.0
68,68,68,34,32,36.0,33.0
69,69,69,37,32,36.0,33.0
70,70,70,34,29,36.0,33.0
71,71,71,36,32,36.0,33.0
72,72,72,37,30,36.0,33.0
73,73,73,36,30,36.0,33.0
74,74,74,36,30,36.0,33.0
75,75,75,35,31,35.0,33.0
76,76,76,35,30,35.0,33.0
77,77,77,32,31,35.0,33.0
78,78,78,34,33,35.0,33.0
79,79,79,36,31,35.0,33.0
80,80,80,32,31,35.0,33.0
81,81,81,37,29,35.0,33.0
82,82,82,36,30,35.0,33.0
83,83,83,36,33,35.0,33.0
84,84,84,37,32,35.0,33.0
85,85,85,37,30,35.0,33.0
86,86,86,38,30,35.0,33.0
87,87,87,38,30,35.0,33.0
88,88,88,36,30,35.0,32.0
89,89,89,37,30,35.0,32.0
90,90,90,37,31,35.0,32.0
91,91,91,36,33,35.0,32.0
92,92,92,34,33,35.0,32.0
93,93,93,34,34,35.0,32.0
94,94,94,36,35,35.0,32.0
95,95,95,34,33,35.0,32.0
96,96,96,36,32,35.0,32.0
97,97,97,37,31,35.0,32.0
98,98,98,37,33,35.0,32.0
99,99,99,38,32,35.0,32.0
100,100,100,37,35,35.0,32.0
101,101,101,37,34,35.0,32.0
102,102,102,32,33,35.0,32.0
103,103,103,32,36,35.0,32.0
104,104,104,33,33,35.0,32.0
105,105,105,35,32,34.0,32.0
106,106,106,33,34,34.0,32.0
107,107,107,38,35,34.0,32.0
108,108,108,36,37,34.0,32.0
109,109,109,34,38,34.0,32.0
110,110,110,32,38,34.0,32.0
111,111,111,35,36,34.0,32.0
112,112,112,35,38,34.0,32.0
113,113,113,33,38,34.0,32.0
114,114,114,33,37,34.0,32.0
115,115,115,34,33,34.0,32.0
116,116,116,36,34,34.0,32.0
117,117,117,37,32,33.0,32.0
118,118,118,37,33,33.0,32.0
119,119,119,33,34,33.0,32.0
120,120,120,32,32,33.0,32.0
121,121,121,32,33,33.0,32.0
122,122,122,31,35,33.0,32.0
123,123,123,33,33,33.0,32.0
124,124,124,34,33,33.0,32.0
125,125,125,30,32,33.0,32.0
126,126,126,33,32,33.0,32.0
