,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,30,35,33.0,34.0
1,1,1,33,31,33.0,34.0
2,2,2,34,34,33.0,34.0
3,3,3,33,35,33.0,34.0
4,4,4,34,35,33.0,34.0
5,5,5,34,35,33.0,34.0
6,6,6,34,35,33.0,34.0
7,7,7,29,35,33.0,34.0
8,8,8,33,35,33.0,34.0
9,9,9,34,30,33.0,34.0
10,10,10,34,35,33.0,34.0
11,11,11,34,35,33.0,34.0
12,12,12,34,35,33.0,35.0
13,13,13,33,35,33.0,35.0
14,14,14,29,35,33.0,35.0
15,15,15,34,30,33.0,35.0
16,16,16,34,35,33.0,35.0
17,17,17,34,35,33.0,35.0
18,18,18,34,30,33.0,35.0
19,19,19,34,35,33.0,35.0
20,20,20,34,35,33.0,35.0
21,21,21,34,35,33.0,35.0
22,22,22,34,35,33.0,35.0
23,23,23,29,35,33.0,35.0
24,24,24,34,35,33.0,35.0
25,25,25,34,36,33.0,35.0
26,26,26,34,36,33.0,35.0
27,27,27,34,35,33.0,35.0
28,28,28,34,35,33.0,35.0
29,29,29,34,35,33.0,35.0
30,30,30,34,35,33.0,35.0
31,31,31,29,36,34.0,35.0
32,32,32,34,36,34.0,35.0
33,33,33,34,35,34.0,35.0
34,34,34,34,35,34.0,35.0
35,35,35,34,35,34.0,35.0
36,36,36,34,35,34.0,35.0
37,37,37,34,35,34.0,35.0
38,38,38,34,35,34.0,35.0
39,39,39,34,35,34.0,35.0
40,40,40,34,35,34.0,35.0
41,41,41,34,35,34.0,35.0
42,42,42,34,35,34.0,35.0
43,43,43,34,35,34.0,35.0
44,44,44,34,35,34.0,35.0
45,45,45,34,35,34.0,35.0
46,46,46,34,35,34.0,35.0
47,47,47,34,35,34.0,35.0
48,48,48,35,35,34.0,35.0
49,49,49,34,35,34.0,35.0
50,50,50,34,35,34.0,35.0
51,51,51,34,35,34.0,35.0
52,52,52,34,35,34.0,35.0
53,53,53,34,35,34.0,35.0
54,54,54,34,35,34.0,35.0
55,55,55,34,36,34.0,35.0
56,56,56,34,36,34.0,35.0
57,57,57,35,36,34.0,35.0
58,58,58,34,36,34.0,35.0
59,59,59,34,36,34.0,35.0
60,60,60,34,36,34.0,35.0
61,61,61,34,36,34.0,35.0
62,62,62,34,35,34.0,35.0
63,63,63,34,36,34.0,35.0
64,64,64,34,36,34.0,35.0
65,65,65,34,36,34.0,35.0
66,66,66,35,36,34.0,35.0
67,67,67,34,36,34.0,35.0
68,68,68,34,36,34.0,35.0
69,69,69,34,36,34.0,35.0
70,70,70,34,36,34.0,35.0
71,71,71,33,36,34.0,35.0
72,72,72,34,36,34.0,35.0
73,73,73,34,36,34.0,35.0
74,74,74,34,36,34.0,35.0
75,75,75,34,36,34.0,35.0
76,76,76,34,36,34.0,35.0
77,77,77,34,36,34.0,35.0
78,78,78,34,36,34.0,35.0
79,79,79,34,35,34.0,35.0
80,80,80,34,36,34.0,35.0
81,81,81,34,36,34.0,36.0
82,82,82,34,35,34.0,35.0
83,83,83,34,36,34.0,35.0
84,84,84,29,36,34.0,35.0
85,85,85,34,35,34.0,35.0
86,86,86,34,36,34.0,35.0
87,87,87,34,36,34.0,35.0
88,88,88,34,36,34.0,35.0
89,89,89,34,36,34.0,35.0
90,90,90,34,36,34.0,35.0
91,91,91,34,35,34.0,35.0
92,92,92,34,35,34.0,35.0
93,93,93,33,35,34.0,35.0
94,94,94,34,35,34.0,35.0
