,Unnamed: 0,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,38,39,32.0,33.0
1,1,1,36,39,32.0,33.0
2,2,2,35,34,32.0,33.0
3,3,3,36,31,32.0,33.0
4,4,4,29,33,32.0,33.0
5,5,5,30,32,32.0,33.0
6,6,6,33,31,32.0,33.0
7,7,7,31,33,32.0,33.0
8,8,8,30,31,32.0,33.0
9,9,9,31,33,32.0,33.0
10,10,10,30,34,32.0,33.0
11,11,11,29,33,32.0,33.0
12,12,12,29,32,32.0,33.0
13,13,13,29,33,32.0,33.0
14,14,14,36,33,32.0,33.0
15,15,15,30,33,31.0,33.0
16,16,16,32,31,31.0,33.0
17,17,17,31,31,31.0,33.0
18,18,18,28,32,31.0,33.0
19,19,19,29,31,31.0,33.0
20,20,20,31,31,31.0,32.0
21,21,21,29,32,31.0,32.0
22,22,22,35,33,31.0,32.0
23,23,23,29,34,31.0,32.0
24,24,24,30,31,31.0,32.0
25,25,25,30,31,31.0,32.0
26,26,26,33,31,31.0,32.0
27,27,27,35,32,31.0,32.0
28,28,28,32,33,31.0,32.0
29,29,29,31,30,31.0,32.0
30,30,30,31,32,31.0,32.0
31,31,31,33,30,31.0,32.0
32,32,32,36,31,31.0,32.0
33,33,33,31,31,31.0,32.0
34,34,34,29,32,31.0,32.0
35,35,35,31,32,31.0,32.0
36,36,36,29,31,31.0,32.0
37,37,37,33,32,31.0,32.0
38,38,38,29,31,31.0,32.0
39,39,39,30,38,31.0,32.0
40,40,40,30,31,31.0,32.0
41,41,41,31,32,31.0,32.0
42,42,42,33,32,31.0,32.0
43,43,43,36,30,30.0,32.0
44,44,44,29,32,30.0,32.0
45,45,45,27,31,30.0,32.0
46,46,46,27,33,30.0,32.0
47,47,47,29,31,30.0,32.0
48,48,48,27,31,30.0,32.0
49,49,49,29,32,30.0,32.0
50,50,50,27,33,30.0,32.0
51,51,51,27,38,30.0,32.0
52,52,52,28,34,30.0,32.0
53,53,53,28,34,30.0,32.0
54,54,54,27,33,30.0,32.0
55,55,55,28,32,30.0,32.0
56,56,56,27,32,30.0,32.0
57,57,57,27,31,30.0,32.0
58,58,58,29,35,30.0,32.0
59,59,59,30,32,30.0,32.0
60,60,60,28,31,30.0,32.0
61,61,61,30,31,30.0,32.0
62,62,62,37,33,30.0,32.0
63,63,63,31,31,30.0,32.0
64,64,64,29,31,30.0,32.0
65,65,65,30,31,30.0,32.0
66,66,66,28,31,30.0,32.0
67,67,67,29,30,30.0,32.0
68,68,68,30,31,30.0,32.0
69,69,69,29,31,30.0,32.0
70,70,70,36,32,30.0,32.0
71,71,71,32,31,30.0,32.0
72,72,72,35,31,30.0,32.0
73,73,73,33,32,30.0,32.0
74,74,74,29,31,30.0,32.0
75,75,75,30,31,30.0,32.0
76,76,76,33,31,30.0,32.0
77,77,77,29,31,30.0,32.0
78,78,78,29,31,30.0,32.0
79,79,79,29,31,30.0,32.0
80,80,80,32,32,29.0,32.0
81,81,81,31,31,29.0,32.0
82,82,82,29,31,29.0,32.0
83,83,83,31,31,29.0,32.0
84,84,84,28,30,29.0,32.0
85,85,85,28,31,29.0,32.0
86,86,86,25,31,29.0,32.0
87,87,87,29,31,29.0,32.0
88,88,88,31,31,29.0,32.0
89,89,89,29,31,29.0,32.0
90,90,90,30,32,29.0,32.0
91,91,91,29,31,29.0,32.0
92,92,92,28,33,29.0,32.0
93,93,93,30,35,29.0,32.0
94,94,94,29,32,29.0,32.0
95,95,95,24,31,29.0,32.0
96,96,96,29,34,29.0,32.0
97,97,97,28,34,29.0,32.0
98,98,98,29,32,29.0,32.0
99,99,99,28,30,29.0,32.0
100,100,100,28,31,29.0,32.0
101,101,101,29,31,29.0,32.0
102,102,102,29,33,29.0,32.0
103,103,103,28,36,29.0,32.0
104,104,104,29,34,29.0,32.0
105,105,105,29,36,29.0,32.0
106,106,106,28,34,29.0,32.0
107,107,107,29,33,29.0,32.0
108,108,108,28,31,29.0,32.0
109,109,109,29,31,29.0,32.0
110,110,110,32,34,29.0,32.0
111,111,111,29,34,29.0,32.0
112,112,112,28,32,29.0,32.0
113,113,113,29,31,29.0,32.0
114,114,114,30,31,29.0,32.0
115,115,115,29,31,29.0,32.0
116,116,116,29,33,29.0,32.0
117,117,117,30,34,29.0,32.0
118,118,118,29,33,29.0,32.0
119,119,119,27,32,29.0,32.0
120,120,120,30,34,29.0,32.0
121,121,121,29,31,29.0,32.0
122,122,122,31,31,29.0,32.0
123,123,123,30,31,29.0,32.0
124,124,124,30,32,29.0,33.0
125,125,125,29,33,29.0,33.0
126,126,126,28,33,29.0,33.0
127,127,127,29,31,29.0,33.0
128,128,128,27,34,29.0,33.0
129,129,129,29,33,29.0,33.0
130,130,130,27,32,29.0,33.0
131,131,131,28,35,29.0,33.0
132,132,132,29,31,29.0,33.0
133,133,133,28,34,29.0,33.0
134,134,134,28,36,28.0,33.0
135,135,135,28,36,28.0,33.0
136,136,136,28,34,28.0,33.0
137,137,137,27,34,28.0,33.0
138,138,138,29,34,28.0,33.0
139,139,139,33,36,28.0,33.0
140,140,140,30,34,28.0,33.0
141,141,141,29,34,28.0,33.0
142,142,142,30,35,28.0,33.0
143,143,143,30,36,28.0,33.0
144,144,144,30,36,28.0,33.0
145,145,145,30,30,28.0,33.0
146,146,146,29,35,28.0,33.0
147,147,147,30,31,28.0,33.0
148,148,148,30,32,28.0,33.0
149,149,149,31,31,28.0,33.0
150,150,150,28,31,28.0,33.0
151,151,151,29,31,28.0,33.0
152,152,152,30,31,28.0,33.0
153,153,153,29,35,28.0,33.0
154,154,154,27,32,28.0,33.0
155,155,155,30,32,28.0,32.0
156,156,156,30,32,28.0,32.0
157,157,157,30,31,28.0,32.0
158,158,158,29,32,28.0,32.0
159,159,159,28,30,28.0,32.0
160,160,160,28,34,28.0,32.0
161,161,161,28,32,28.0,32.0
162,162,162,27,31,28.0,32.0
163,163,163,28,32,28.0,32.0
164,164,164,29,31,28.0,32.0
165,165,165,28,31,27.0,32.0
166,166,166,30,33,27.0,32.0
167,167,167,29,33,27.0,32.0
168,168,168,28,34,27.0,32.0
169,169,169,29,34,27.0,32.0
170,170,170,27,31,27.0,32.0
171,171,171,28,33,27.0,32.0
172,172,172,29,34,27.0,32.0
173,173,173,28,34,27.0,32.0
174,174,174,27,36,27.0,32.0
175,175,175,27,34,27.0,32.0
176,176,176,27,34,27.0,32.0
177,177,177,27,35,27.0,32.0
178,178,178,24,32,27.0,32.0
179,179,179,25,31,27.0,32.0
180,180,180,24,35,27.0,32.0
181,181,181,27,35,27.0,32.0
182,182,182,25,31,27.0,32.0
183,183,183,27,34,27.0,32.0
184,184,184,24,29,27.0,32.0
185,185,185,27,34,27.0,32.0
186,186,186,23,36,27.0,32.0
187,187,187,23,30,27.0,32.0
188,188,188,23,31,27.0,32.0
189,189,189,23,31,27.0,32.0
190,190,190,25,31,27.0,32.0
191,191,191,25,30,27.0,32.0
192,192,192,23,31,27.0,32.0
193,193,193,23,30,27.0,31.0
194,194,194,25,31,27.0,31.0
195,195,195,26,30,27.0,31.0
196,196,196,25,31,27.0,31.0
197,197,197,26,31,27.0,31.0
198,198,198,26,32,27.0,31.0
199,199,199,26,29,27.0,31.0
200,200,200,25,31,27.0,31.0
201,201,201,26,30,27.0,31.0
202,202,202,26,30,27.0,31.0
203,203,203,26,31,27.0,31.0
204,204,204,27,30,27.0,31.0
205,205,205,26,30,27.0,31.0
206,206,206,27,30,27.0,31.0
207,207,207,26,30,27.0,31.0
208,208,208,26,31,27.0,31.0
209,209,209,26,30,27.0,31.0
210,210,210,25,29,27.0,31.0
211,211,211,27,30,27.0,31.0
212,212,212,25,30,27.0,31.0
213,213,213,27,30,27.0,31.0
214,214,214,24,30,27.0,31.0
215,215,215,26,30,27.0,31.0
216,216,216,26,32,27.0,31.0
217,217,217,26,30,27.0,31.0
218,218,218,27,30,27.0,31.0
219,219,219,28,31,27.0,31.0
220,220,220,30,30,27.0,31.0
221,221,221,29,31,27.0,31.0
222,222,222,30,30,27.0,31.0
223,223,223,31,31,27.0,31.0
224,224,224,29,31,27.0,31.0
225,225,225,29,30,27.0,31.0
226,226,226,27,31,27.0,31.0
227,227,227,29,31,27.0,31.0
228,228,228,29,31,27.0,31.0
229,229,229,32,30,28.0,31.0
230,230,230,29,31,28.0,31.0
231,231,231,27,30,28.0,31.0
232,232,232,28,31,28.0,31.0
233,233,233,29,30,28.0,31.0
234,234,234,28,30,28.0,31.0
235,235,235,28,31,28.0,31.0
236,236,236,29,31,28.0,31.0
237,237,237,30,31,28.0,31.0
238,238,238,28,31,28.0,31.0
239,239,239,28,31,28.0,31.0
240,240,240,28,31,28.0,31.0
241,241,241,27,30,28.0,31.0
242,242,242,29,31,28.0,31.0
243,243,243,29,31,28.0,31.0
244,244,244,28,31,28.0,31.0
245,245,245,28,31,29.0,31.0
246,246,246,28,31,29.0,31.0
247,247,247,28,31,29.0,31.0
248,248,248,30,31,29.0,31.0
249,249,249,28,31,29.0,31.0
250,250,250,28,31,29.0,31.0
251,251,251,28,31,29.0,31.0
252,252,252,27,31,29.0,31.0
253,253,253,28,31,29.0,31.0
254,254,254,28,34,29.0,31.0
255,255,255,28,31,29.0,31.0
256,256,256,28,32,29.0,31.0
257,257,257,28,31,29.0,31.0
258,258,258,28,31,29.0,31.0
259,259,259,29,31,29.0,31.0
260,260,260,29,30,29.0,31.0
261,261,261,29,31,29.0,31.0
262,262,262,29,30,29.0,31.0
263,263,263,28,32,30.0,31.0
264,264,264,28,31,30.0,31.0
265,265,265,31,30,30.0,31.0
266,266,266,30,30,30.0,31.0
267,267,267,31,32,30.0,31.0
268,268,268,30,30,30.0,31.0
269,269,269,30,31,30.0,31.0
270,270,270,32,31,30.0,31.0
271,271,271,31,31,30.0,31.0
272,272,272,29,32,30.0,31.0
273,273,273,30,31,30.0,31.0
274,274,274,31,31,30.0,31.0
275,275,275,29,31,30.0,31.0
276,276,276,29,32,30.0,31.0
277,277,277,29,30,30.0,31.0
278,278,278,31,35,30.0,31.0
279,279,279,30,31,30.0,31.0
280,280,280,29,35,30.0,31.0
281,281,281,31,34,30.0,31.0
282,282,282,29,32,30.0,31.0
283,283,283,29,31,30.0,31.0
284,284,284,32,31,30.0,31.0
285,285,285,32,33,30.0,32.0
286,286,286,29,34,30.0,32.0
287,287,287,27,31,30.0,32.0
288,288,288,30,31,30.0,32.0
289,289,289,31,32,30.0,32.0
290,290,290,33,31,30.0,32.0
291,291,291,29,31,30.0,32.0
292,292,292,31,31,30.0,32.0
293,293,293,31,31,30.0,32.0
294,294,294,30,31,30.0,32.0
295,295,295,37,31,30.0,32.0
296,296,296,34,31,30.0,32.0
297,297,297,30,33,31.0,32.0
298,298,298,28,31,31.0,32.0
299,299,299,36,31,31.0,32.0
300,300,300,31,33,31.0,32.0
301,301,301,32,34,31.0,32.0
302,302,302,31,32,31.0,32.0
303,303,303,37,31,31.0,32.0
304,304,304,37,33,31.0,32.0
305,305,305,36,30,31.0,32.0
306,306,306,31,33,31.0,32.0
307,307,307,30,32,31.0,32.0
308,308,308,33,32,31.0,32.0
309,309,309,30,33,31.0,32.0
310,310,310,29,31,31.0,32.0
311,311,311,29,32,31.0,32.0
312,312,312,27,31,31.0,32.0
313,313,313,28,33,31.0,32.0
314,314,314,29,30,31.0,32.0
315,315,315,29,31,31.0,32.0
316,316,316,29,34,31.0,32.0
317,317,317,29,34,31.0,32.0
318,318,318,29,34,31.0,32.0
319,319,319,31,33,31.0,32.0
320,320,320,30,31,31.0,32.0
321,321,321,29,33,31.0,32.0
322,322,322,31,31,31.0,32.0
323,323,323,30,30,31.0,32.0
324,324,324,32,31,31.0,32.0
325,325,325,30,31,31.0,32.0
326,326,326,29,31,31.0,32.0
327,327,327,29,33,31.0,32.0
328,328,328,29,32,31.0,32.0
329,329,329,33,31,31.0,32.0
330,330,330,30,31,31.0,32.0
331,331,331,33,31,31.0,32.0
332,332,332,38,31,31.0,32.0
333,333,333,37,31,31.0,32.0
334,334,334,37,31,31.0,32.0
335,335,335,31,31,31.0,32.0
336,336,336,36,34,31.0,32.0
337,337,337,29,34,31.0,32.0
338,338,338,31,31,31.0,32.0
339,339,339,31,34,31.0,32.0
340,340,340,29,34,31.0,32.0
341,341,341,31,33,31.0,32.0
342,342,342,33,33,31.0,32.0
343,343,343,33,31,31.0,32.0
344,344,344,32,31,31.0,32.0
345,345,345,28,32,31.0,32.0
346,346,346,32,31,30.0,32.0
347,347,347,32,31,30.0,32.0
348,348,348,29,35,30.0,32.0
349,349,349,30,34,30.0,32.0
350,350,350,29,30,30.0,32.0
351,351,351,30,30,30.0,32.0
352,352,352,31,31,30.0,32.0
353,353,353,29,30,30.0,32.0
354,354,354,30,31,30.0,32.0
355,355,355,30,34,30.0,32.0
356,356,356,33,30,30.0,32.0
